x,y,region,home_county,mutual_aid_number,type,accidental_transmitter,date,operational_periods,number_volunteers,total_hours,mileage,total_paid_hours,aircraft_used,area_type,area_type_other,land_ownership,land_ownership_other,number_subjects,category,category_other,age_sub_1,gender_sub_1,fitness_sub_1,experience_sub_1,mental_factor_sub_1,mental_rating_sub_1,age_sub_2,gender_sub_2,fitness_sub_2,experience_sub_2,mental_factor_sub_2,mental_rating_sub_2,age_sub_3,gender_sub_3,fitness_sub_3,experience_sub_3,mental_factor_sub_3,mental_rating_sub_3,age_sub_4,gender_sub_4,fitness_sub_4,experience_sub_4,mental_factor_sub_4,mental_rating_sub_4,age_sub_5,gender_sub_5,fitness_sub_5,experience_sub_5,mental_factor_sub_5,mental_rating_sub_5,group_specifics,number_sub_well,number_sub_ill_injured,number_sub_doa,number_sub_not_found,point_found_count,medical_problems_subject,medical_problems_other_subject,medical_provider,medical_provider_other,year,male_female,sub_1,sub_2,sub_3,sub_4,sub_5,sub_total,state,children,seniors,mental,daylight,winter,helicopter,uav,fixed_wing,total_aircrafts,gps,time_bin
-105.44,39.2400000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/10/04 00:42:00+00,2.0,7.0,119.0,438.0,0.0,no,wilderness,,"forest, park, monument, blm",,2.0,hiking,,,male,good,fair,,,,male,good,fair,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,2019,male,1.0,1.0,,,,2.0,Colorado,0,0,0,0,1,0,0,0,0,0,32hours-7day
-105.26,39.4200000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/12/21 00:35:00+00,1.0,3.0,9.0,,0.0,no,urban_rural,,county,,1.0,climbing,,,male,good,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,Local_Fire,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,1,0,0,0,0,0,0-11hr
-106.12,39.33,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/07/10 22:30:00+00,1.0,1.0,1.0,,0.0,no,wilderness,,"forest, park, monument, blm",,3.0,mountaineering,,,female,good,fair,,,,female,good,,,,,female,good,fair,,,,,,,,,,,,,,,,3.0,0.0,,0.0,,,,,,2019,female,1.0,1.0,1.0,,,3.0,Colorado,0,0,0,0,0,0,0,0,0,0,0-11hr
-105.51,39.28,Rocky Mountain Region,"['Park County ', ' Colorado']",,search,,2019/07/09 17:55:59+00,1.0,1.0,1.0,,0.0,no,wilderness,,"forest, park, monument, blm",,2.0,hiking,,,male,good,fair,none,normal,,female,good,fair,none,normal,,,,,,,,,,,,,,,,,,,,2.0,0.0,,0.0,,,,,,2019,male female,1.0,1.0,,,,2.0,Colorado,0,0,0,1,0,0,0,0,0,0,0-11hr
-105.51,39.1300000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,search,,2019/08/07 03:40:00+00,1.0,1.0,1.0,,0.0,no,urban_rural,,private,,1.0,working,,,male,good,fair,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,0,0,0,0,0,0,0-11hr
-105.69,39.3600000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,search,,2019/08/07 03:00:00+00,1.0,1.0,1.0,,0.0,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,,good,good,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,,1.0,,,,,1.0,Colorado,0,0,0,0,0,0,0,0,0,0,0-11hr
-105.62,39.2300000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,search,,2019/08/12 06:14:59+00,1.0,2.0,8.0,,0.0,no,urban_rural,,"forest, park, monument, blm",,1.0,other,walkaway,,male,poor,poor,intoxicated,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,1,0,0,0,0,0,0,0,0-11hr
-105.37,39.0700000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/10/13 05:57:00+00,1.0,1.0,1.0,,0.0,no,urban_rural,,private,,1.0,hiking,,,male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,1,0,0,0,0,0,0-11hr
-105.41,39.2300000000001,Rocky Mountain Region,"['Park County ', ' Colorado']",,rescue,,2019/08/26 19:08:00+00,1.0,1.0,1.0,,0.0,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,,female,good,fair,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,1,0,0,0,0,0,0,0-11hr
-105.8,39.02,Rocky Mountain Region,"['Park County ', ' Colorado']",,search,,2019/11/27 05:39:59+00,1.0,1.0,1.0,,0.0,no,urban_rural,,private,,1.0,other,walkaway,,male,fair,fair,none,normal,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,male,1.0,,,,,1.0,Colorado,0,0,0,0,1,0,0,0,0,0,0-11hr
-106.266325862,39.635840891,Rocky Mountain Region,"['Eagle County ', ' Colorado']",,rescue,,2019/07/02 19:15:00+00,1.0,9.0,54.0,,,no,wilderness,,"forest, park, monument, blm",,1.0,hiking,,38.0,female,good,poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,,,,,,2019,female,1.0,,,,,1.0,Colorado,0,0,0,1,0,0,0,0,0,0,32hours-7day
